May 29 05:43:20.815 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4492.097180ms, 133577.540586ms, Xm: 726, a: 0.883081, r: 0.307000
May 29 05:45:00.707 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4511.538075ms, 154874.445573ms, Xm: 675, a: 0.847215, r: 0.306000
May 29 05:47:07.445 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4494.797528ms, 151559.754679ms, Xm: 679, a: 0.851530, r: 0.307000
May 29 05:48:34.721 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4505.387485ms, 154271.063743ms, Xm: 675, a: 0.847824, r: 0.308000
May 29 05:48:35.824 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4496.407434ms, 153392.857210ms, Xm: 675, a: 0.848716, r: 0.307000
May 29 05:48:46.018 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.761613ms, 154670.204091ms, Xm: 673, a: 0.846958, r: 0.307000
May 29 05:54:20.587 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4497.025438ms, 123963.899654ms, Xm: 757, a: 0.903261, r: 0.311000
May 29 05:54:40.339 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4520.352914ms, 145161.909313ms, Xm: 701, a: 0.863508, r: 0.309000
May 29 05:54:44.390 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.297547ms, 132487.675195ms, Xm: 731, a: 0.885638, r: 0.310000
May 29 05:54:44.661 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.964672ms, 133388.431861ms, Xm: 731, a: 0.884486, r: 0.311000
May 29 06:14:10.145 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4485.923748ms, 140896.282496ms, Xm: 704, a: 0.869064, r: 0.315000
May 29 06:15:22.381 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4500.917162ms, 146873.663810ms, Xm: 692, a: 0.859536, r: 0.314000
May 29 06:15:45.774 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4488.163705ms, 145685.992047ms, Xm: 692, a: 0.860840, r: 0.313000
May 29 06:16:25.836 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4505.648719ms, 148914.105668ms, Xm: 688, a: 0.856404, r: 0.315000
May 29 06:16:33.160 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4493.184155ms, 147738.373575ms, Xm: 688, a: 0.857668, r: 0.314000
May 29 06:17:16.508 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4506.592195ms, 161439.184357ms, Xm: 659, a: 0.837127, r: 0.315000
May 29 06:17:31.846 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4493.411555ms, 160091.817483ms, Xm: 659, a: 0.838404, r: 0.314000
May 29 06:18:10.112 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4501.690263ms, 160483.651103ms, Xm: 660, a: 0.838263, r: 0.314000
May 29 06:18:14.046 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4495.341392ms, 159836.876447ms, Xm: 660, a: 0.838879, r: 0.313000
May 29 06:18:15.663 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4512.462588ms, 161584.944123ms, Xm: 660, a: 0.837220, r: 0.314000
May 29 06:18:17.271 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.208996ms, 160230.676304ms, Xm: 660, a: 0.838504, r: 0.313000
May 29 06:18:17.586 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4506.453680ms, 160970.027892ms, Xm: 660, a: 0.837801, r: 0.313000
May 29 06:19:13.917 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4430.473581ms, 142299.456051ms, Xm: 687, a: 0.863466, r: 0.311000
May 29 06:22:17.490 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4508.503876ms, 163477.357916ms, Xm: 655, a: 0.834301, r: 0.315000
May 29 06:22:52.138 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4485.714515ms, 161124.022345ms, Xm: 655, a: 0.836498, r: 0.314000
May 29 06:25:09.613 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.304801ms, 162175.153845ms, Xm: 658, a: 0.836205, r: 0.316000
May 29 06:26:34.803 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4485.964282ms, 141273.218624ms, Xm: 703, a: 0.868393, r: 0.319000
May 29 06:27:48.603 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.420291ms, 144159.608253ms, Xm: 701, a: 0.864631, r: 0.321000
May 29 06:28:07.687 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4494.203495ms, 143533.351374ms, Xm: 699, a: 0.864874, r: 0.321000
May 29 06:28:11.358 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4520.837015ms, 145980.683317ms, Xm: 699, a: 0.862137, r: 0.320000
May 29 07:11:56.072 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4478.329228ms, 133091.066054ms, Xm: 724, a: 0.883232, r: 0.290000
May 29 07:11:56.750 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4554.645139ms, 156975.192443ms, Xm: 680, a: 0.846266, r: 0.287000
May 29 07:16:03.647 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4418.274068ms, 128708.703113ms, Xm: 722, a: 0.888466, r: 0.295000
May 29 07:31:25.884 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4513.550683ms, 151295.804017ms, Xm: 684, a: 0.852962, r: 0.289000
May 29 07:32:47.510 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4487.808028ms, 148033.126175ms, Xm: 686, a: 0.856885, r: 0.287000
May 29 07:35:48.211 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.413033ms, 148301.302424ms, Xm: 689, a: 0.857293, r: 0.287000
May 29 07:37:55.535 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4495.299673ms, 149145.742384ms, Xm: 685, a: 0.855461, r: 0.286000
May 29 07:37:56.133 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4506.435728ms, 150205.376355ms, Xm: 685, a: 0.854338, r: 0.286000
May 29 07:38:02.672 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4478.483123ms, 143627.508277ms, Xm: 695, a: 0.863837, r: 0.288000
May 29 07:38:13.099 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4506.170620ms, 146182.902446ms, Xm: 695, a: 0.860988, r: 0.286000
May 29 07:38:15.598 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4499.496449ms, 145564.232629ms, Xm: 695, a: 0.861672, r: 0.286000
May 29 07:38:16.107 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4516.334540ms, 147128.340212ms, Xm: 695, a: 0.859952, r: 0.286000
May 29 07:38:54.740 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4480.728596ms, 149386.241471ms, Xm: 681, a: 0.854276, r: 0.285000
May 29 07:39:03.051 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4509.169691ms, 152115.485625ms, Xm: 681, a: 0.851417, r: 0.286000
May 29 07:39:24.828 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4484.907980ms, 149785.287193ms, Xm: 681, a: 0.853854, r: 0.285000
May 29 07:39:24.865 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4557.595155ms, 173521.060999ms, Xm: 645, a: 0.823116, r: 0.283000
May 29 07:45:37.576 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4495.722094ms, 168808.833850ms, Xm: 641, a: 0.826263, r: 0.282000
May 29 08:05:51.845 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4511.023776ms, 163738.938717ms, Xm: 655, a: 0.834059, r: 0.289000
May 29 08:07:46.163 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4495.940431ms, 159897.829464ms, Xm: 660, a: 0.838821, r: 0.289000
May 29 08:07:55.016 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4516.549762ms, 162004.073267ms, Xm: 660, a: 0.836826, r: 0.289000
May 29 08:08:20.825 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4494.359131ms, 159736.962925ms, Xm: 660, a: 0.838975, r: 0.287000
May 29 08:08:23.409 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4503.029976ms, 160620.348064ms, Xm: 660, a: 0.838133, r: 0.288000
May 29 08:08:23.902 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4490.536549ms, 159348.524622ms, Xm: 660, a: 0.839347, r: 0.288000
May 29 08:08:26.289 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4501.730356ms, 160487.740922ms, Xm: 660, a: 0.838259, r: 0.289000
May 29 08:08:29.458 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4494.545802ms, 159755.947642ms, Xm: 660, a: 0.838957, r: 0.289000
May 29 08:08:35.465 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4514.521075ms, 162712.524611ms, Xm: 658, a: 0.835703, r: 0.290000
May 29 08:08:46.637 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4489.061473ms, 160100.659996ms, Xm: 658, a: 0.838164, r: 0.290000
May 29 08:08:51.014 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4504.151339ms, 161645.388866ms, Xm: 658, a: 0.836702, r: 0.290000
May 29 08:23:14.270 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5504.280662ms, 207564.348383ms, Xm: 783, a: 0.825290, r: 0.280000
May 29 08:25:54.916 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5454.671419ms, 158027.683815ms, Xm: 894, a: 0.889919, r: 0.286000
May 29 08:28:05.406 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5583.788186ms, 217809.834344ms, Xm: 780, a: 0.817667, r: 0.281000
May 29 08:32:28.916 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5481.971507ms, 209629.018160ms, Xm: 774, a: 0.822128, r: 0.276000
May 29 08:32:29.645 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5500.799180ms, 211695.682992ms, Xm: 774, a: 0.820691, r: 0.276000
May 29 08:32:29.646 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5498.813588ms, 211477.107345ms, Xm: 774, a: 0.820842, r: 0.276000
