Aug 29 17:11:07.604 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:08.162 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:08.162 [debug] read_to_chunk(): Read 509 bytes. 509 on inbuf.
Aug 29 17:11:08.249 [debug] read_to_chunk(): Read 118 bytes. 118 on inbuf.
Aug 29 17:11:08.265 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:08.265 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:08.265 [debug] read_to_chunk(): Read 33 bytes. 33 on inbuf.
Aug 29 17:11:08.295 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:08.295 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:08.296 [debug] read_to_chunk(): Read 22 bytes. 22 on inbuf.
Aug 29 17:11:08.470 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:08.751 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:08.756 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:08.758 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:09.166 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:09.167 [debug] read_to_chunk(): Read 170 bytes. 170 on inbuf.
Aug 29 17:11:09.167 [debug] read_to_chunk(): Read 275 bytes. 445 on inbuf.
Aug 29 17:11:09.261 [debug] read_to_chunk(): Read 412 bytes. 412 on inbuf.
Aug 29 17:11:09.447 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:09.653 [debug] read_to_chunk(): Read 3 bytes. 3 on inbuf.
Aug 29 17:11:09.653 [debug] read_to_chunk(): Read 84 bytes. 84 on inbuf.
Aug 29 17:11:09.653 [debug] read_to_chunk(): Read 69 bytes. 69 on inbuf.
Aug 29 17:11:09.703 [debug] read_to_chunk(): Read 64 bytes. 64 on inbuf.
Aug 29 17:11:09.704 [debug] read_to_chunk(): Read 415 bytes. 415 on inbuf.
Aug 29 17:11:09.941 [debug] read_to_chunk(): Read 31 bytes. 31 on inbuf.
Aug 29 17:11:10.152 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:10.158 [debug] read_to_chunk(): Read 104 bytes. 104 on inbuf.
Aug 29 17:11:10.593 [debug] read_to_chunk(): Read 517 bytes. 517 on inbuf.
Aug 29 17:11:10.593 [debug] read_to_chunk(): Read 39 bytes. 39 on inbuf.
Aug 29 17:11:10.709 [debug] read_to_chunk(): Read 272 bytes. 272 on inbuf.
